Feature1,Feature2
2.2483570765056164,1.9308678494144076
2.3238442690503462,2.761514928204013
1.882923312638332,1.8829315215254097
2.7896064077536957,2.3837173645764542
1.765262807032524,2.2712800217929825
1.7682911535937689,1.7671351232148715
2.1209811357830173,1.043359877671101
1.1375410837434836,1.7188562353795136
1.4935844398327882,2.157123666297637
1.5459879622393946,1.2938481493323541
6.732824384460777,5.8871118497567325
6.033764102343962,5.287625906893272
5.727808637737409,6.055461294854933
5.424503211288848,6.187849009172836
5.699680655040598,5.854153125103362
5.699146693885302,6.926139092254469
5.993251387631033,5.47114453552205
6.411272456051594,5.389578175014488
6.104431797502378,5.0201649380601125
5.335906975550785,6.098430617934562
10.369233289997705,2.085684140594985
9.94217585880588,1.8494481522053556
9.260739004816287,1.6400778958026456
9.769680614520107,2.5285611131094576
10.17180914478423,1.118479922318633
10.162041984697398,1.8074588597918417
9.661538999847021,2.305838144420434
10.515499761247975,2.4656400595580994
9.58039123838868,1.8453938120743927
10.165631715701782,2.4877725635611796
